,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Revenue
0,536527,22809,SET OF 6 T-LIGHTS SANTA,6,01-12-2010 13:04,2.95,12662,Germany,17.7
1,536527,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,6,01-12-2010 13:04,2.55,12662,Germany,15.3
2,536527,84945,MULTI COLOUR SILVER T-LIGHT HOLDER,12,01-12-2010 13:04,0.85,12662,Germany,10.2
3,536527,22242,5 HOOK HANGER MAGIC TOADSTOOL,12,01-12-2010 13:04,1.65,12662,Germany,19.8
4,536527,22244,3 HOOK HANGER MAGIC GARDEN,12,01-12-2010 13:04,1.95,12662,Germany,23.4
5,536527,22243,5 HOOK HANGER RED MAGIC TOADSTOOL,12,01-12-2010 13:04,1.65,12662,Germany,19.8
6,536527,47421,ASSORTED COLOUR LIZARD SUCTION HOOK,24,01-12-2010 13:04,0.42,12662,Germany,10.08
7,536527,20712,JUMBO BAG WOODLAND ANIMALS,10,01-12-2010 13:04,1.95,12662,Germany,19.5
8,536527,20713,JUMBO BAG OWLS,10,01-12-2010 13:04,1.95,12662,Germany,19.5
9,536527,22837,HOT WATER BOTTLE BABUSHKA ,4,01-12-2010 13:04,4.65,12662,Germany,18.6
10,536527,22969,HOMEMADE JAM SCENTED CANDLES,12,01-12-2010 13:04,1.45,12662,Germany,17.4
11,536527,22973,CHILDREN'S CIRCUS PARADE MUG,12,01-12-2010 13:04,1.65,12662,Germany,19.8
12,536527,84569B,PACK 3 FIRE ENGINE/CAR PATCHES,12,01-12-2010 13:04,1.25,12662,Germany,15.0
13,536527,22549,PICTURE DOMINOES,12,01-12-2010 13:04,1.45,12662,Germany,17.4
14,536527,POST,POSTAGE,1,01-12-2010 13:04,18.0,12662,Germany,18.0
15,C536548,22244,3 HOOK HANGER MAGIC GARDEN,-4,01-12-2010 14:33,1.95,12472,Germany,-7.8
16,C536548,22242,5 HOOK HANGER MAGIC TOADSTOOL,-5,01-12-2010 14:33,1.65,12472,Germany,-8.25
17,C536548,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,-1,01-12-2010 14:33,2.95,12472,Germany,-2.95
18,C536548,22892,SET OF SALT AND PEPPER TOADSTOOLS,-7,01-12-2010 14:33,1.25,12472,Germany,-8.75
19,C536548,22654,DELUXE SEWING KIT ,-1,01-12-2010 14:33,5.95,12472,Germany,-5.95
20,C536548,22767,TRIPLE PHOTO FRAME CORNICE ,-2,01-12-2010 14:33,9.95,12472,Germany,-19.9
21,C536548,22333,RETROSPOT PARTY BAG + STICKER SET,-1,01-12-2010 14:33,1.65,12472,Germany,-1.65
22,C536548,22245,"HOOK, 1 HANGER ,MAGIC GARDEN",-2,01-12-2010 14:33,0.85,12472,Germany,-1.7
23,C536548,22077,6 RIBBONS RUSTIC CHARM,-6,01-12-2010 14:33,1.65,12472,Germany,-9.9
24,C536548,22631,CIRCUS PARADE LUNCH BOX ,-1,01-12-2010 14:33,1.95,12472,Germany,-1.95
25,C536548,22168,ORGANISER WOOD ANTIQUE WHITE ,-2,01-12-2010 14:33,8.5,12472,Germany,-17.0
26,C536548,21218,RED SPOTTY BISCUIT TIN,-3,01-12-2010 14:33,3.75,12472,Germany,-11.25
27,C536548,20957,PORCELAIN HANGING BELL SMALL,-1,01-12-2010 14:33,1.45,12472,Germany,-1.45
28,C536548,22580,ADVENT CALENDAR GINGHAM SACK,-4,01-12-2010 14:33,5.95,12472,Germany,-23.8
29,C536622,22752,SET 7 BABUSHKA NESTING BOXES,-2,02-12-2010 10:37,8.5,12471,Germany,-17.0
30,536840,22961,JAM MAKING SET PRINTED,12,02-12-2010 18:27,1.45,12738,Germany,17.4
31,536840,22962,JAM JAR WITH PINK LID,12,02-12-2010 18:27,0.85,12738,Germany,10.2
32,536840,22963,JAM JAR WITH GREEN LID,12,02-12-2010 18:27,0.85,12738,Germany,10.2
33,536840,22776,SWEETHEART CAKESTAND 3 TIER,1,02-12-2010 18:27,9.95,12738,Germany,9.95
34,536840,22952,60 CAKE CASES VINTAGE CHRISTMAS,24,02-12-2010 18:27,0.55,12738,Germany,13.2
35,536840,22077,6 RIBBONS RUSTIC CHARM,12,02-12-2010 18:27,1.65,12738,Germany,19.8
36,536840,22215,CAKE STAND WHITE TWO TIER LACE,2,02-12-2010 18:27,8.5,12738,Germany,17.0
37,536840,21977,PACK OF 60 PINK PAISLEY CAKE CASES,24,02-12-2010 18:27,0.55,12738,Germany,13.2
38,536840,84991,60 TEATIME FAIRY CAKE CASES,24,02-12-2010 18:27,0.55,12738,Germany,13.2
39,536840,21212,PACK OF 72 RETROSPOT CAKE CASES,24,02-12-2010 18:27,0.55,12738,Germany,13.2
40,536840,POST,POSTAGE,1,02-12-2010 18:27,18.0,12738,Germany,18.0
41,536861,22149,FELTCRAFT 6 FLOWER FRIENDS,6,03-12-2010 10:44,2.1,12427,Germany,12.6
42,536861,22077,6 RIBBONS RUSTIC CHARM,12,03-12-2010 10:44,1.65,12427,Germany,19.8
43,536861,21249,WOODLAND  HEIGHT CHART STICKERS ,6,03-12-2010 10:44,2.95,12427,Germany,17.7
44,536861,22636,CHILDS BREAKFAST SET CIRCUS PARADE,8,03-12-2010 10:44,7.65,12427,Germany,61.2
45,536861,22634,CHILDS BREAKFAST SET SPACEBOY ,8,03-12-2010 10:44,8.5,12427,Germany,68.0
46,536861,22301,COFFEE MUG CAT + BIRD DESIGN,6,03-12-2010 10:44,2.55,12427,Germany,15.3
47,536861,22300,COFFEE MUG DOG + BALL DESIGN,6,03-12-2010 10:44,2.55,12427,Germany,15.3
48,536861,21328,BALLOONS  WRITING SET ,12,03-12-2010 10:44,1.65,12427,Germany,19.8
49,536861,21329,DINOSAURS  WRITING SET ,12,03-12-2010 10:44,1.65,12427,Germany,19.8
50,536861,POST,POSTAGE,3,03-12-2010 10:44,18.0,12427,Germany,54.0
51,536967,POST,POSTAGE,1,03-12-2010 12:57,18.0,12600,Germany,18.0
52,536967,85099B,JUMBO BAG RED RETROSPOT,30,03-12-2010 12:57,1.95,12600,Germany,58.5
53,536983,22331,WOODLAND PARTY BAG + STICKER SET,8,03-12-2010 14:30,1.65,12712,Germany,13.2
54,536983,22865,HAND WARMER OWL DESIGN,12,03-12-2010 14:30,2.1,12712,Germany,25.2
55,536983,22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,4,03-12-2010 14:30,8.5,12712,Germany,34.0
56,536983,22926,IVORY GIANT GARDEN THERMOMETER,4,03-12-2010 14:30,5.95,12712,Germany,23.8
57,536983,22914,BLUE COAT RACK PARIS FASHION,3,03-12-2010 14:30,4.95,12712,Germany,14.85
58,536983,84849D,HOT BATHS SOAP HOLDER,12,03-12-2010 14:30,1.69,12712,Germany,20.28
59,536983,22445,PENCIL CASE LIFE IS BEAUTIFUL,6,03-12-2010 14:30,2.95,12712,Germany,17.7
60,536983,16016,LARGE CHINESE STYLE SCISSOR,10,03-12-2010 14:30,0.85,12712,Germany,8.5
61,536983,POST,POSTAGE,1,03-12-2010 14:30,18.0,12712,Germany,18.0
62,537197,22843,BISCUIT TIN VINTAGE GREEN,2,05-12-2010 14:02,6.75,12647,Germany,13.5
63,537197,22842,BISCUIT TIN VINTAGE RED,2,05-12-2010 14:02,6.75,12647,Germany,13.5
64,537197,22961,JAM MAKING SET PRINTED,12,05-12-2010 14:02,1.45,12647,Germany,17.4
65,537197,22962,JAM JAR WITH PINK LID,12,05-12-2010 14:02,0.85,12647,Germany,10.2
66,537197,22963,JAM JAR WITH GREEN LID,12,05-12-2010 14:02,0.85,12647,Germany,10.2
67,537197,84997D,PINK 3 PIECE POLKADOT CUTLERY SET,6,05-12-2010 14:02,3.75,12647,Germany,22.5
68,537197,22199,FRYING PAN RED RETROSPOT,4,05-12-2010 14:02,4.25,12647,Germany,17.0
69,537197,22200,FRYING PAN PINK POLKADOT,4,05-12-2010 14:02,4.25,12647,Germany,17.0
70,537197,22505,MEMO BOARD COTTAGE DESIGN,4,05-12-2010 14:02,4.95,12647,Germany,19.8
71,537197,22507,MEMO BOARD RETROSPOT  DESIGN,4,05-12-2010 14:02,4.95,12647,Germany,19.8
72,537197,84050,PINK HEART SHAPE EGG FRYING PAN,6,05-12-2010 14:02,1.65,12647,Germany,9.9
73,537197,85055,FRENCH ENAMEL UTENSIL HOLDER,4,05-12-2010 14:02,3.75,12647,Germany,15.0
74,537197,84968A,SET OF 16 VINTAGE ROSE CUTLERY,1,05-12-2010 14:02,12.75,12647,Germany,12.75
75,537197,POST,POSTAGE,3,05-12-2010 14:02,18.0,12647,Germany,54.0
76,537197,22624,IVORY KITCHEN SCALES,2,05-12-2010 14:02,8.5,12647,Germany,17.0
77,537197,22841,ROUND CAKE TIN VINTAGE GREEN,1,05-12-2010 14:02,0.0,12647,Germany,0.0
78,537197,22847,BREAD BIN DINER STYLE IVORY,1,05-12-2010 14:02,16.95,12647,Germany,16.95
79,537198,20685,DOORMAT RED RETROSPOT,10,05-12-2010 14:03,6.75,12647,Germany,67.5
80,537198,POST,POSTAGE,1,05-12-2010 14:03,18.0,12647,Germany,18.0
81,537201,22781,GUMBALL MAGAZINE RACK,2,05-12-2010 14:19,7.65,12472,Germany,15.3
82,537201,22865,HAND WARMER OWL DESIGN,24,05-12-2010 14:19,2.1,12472,Germany,50.4
83,537201,22960,JAM MAKING SET WITH JARS,12,05-12-2010 14:19,3.75,12472,Germany,45.0
84,537201,22961,JAM MAKING SET PRINTED,12,05-12-2010 14:19,1.45,12472,Germany,17.4
85,537201,22962,JAM JAR WITH PINK LID,24,05-12-2010 14:19,0.85,12472,Germany,20.4
86,537201,22963,JAM JAR WITH GREEN LID,24,05-12-2010 14:19,0.85,12472,Germany,20.4
87,537201,22964,3 PIECE SPACEBOY COOKIE CUTTER SET,18,05-12-2010 14:19,2.1,12472,Germany,37.8
88,537201,22972,CHILDREN'S SPACEBOY MUG,12,05-12-2010 14:19,1.65,12472,Germany,19.8
89,537201,22973,CHILDREN'S CIRCUS PARADE MUG,12,05-12-2010 14:19,1.65,12472,Germany,19.8
90,537201,22975,SPACEBOY CHILDRENS EGG CUP,12,05-12-2010 14:19,1.25,12472,Germany,15.0
91,537201,22976,CIRCUS PARADE CHILDRENS EGG CUP ,12,05-12-2010 14:19,1.25,12472,Germany,15.0
92,537201,22834,HAND WARMER BABUSHKA DESIGN,12,05-12-2010 14:19,2.1,12472,Germany,25.2
93,537201,22568,FELTCRAFT CUSHION OWL,4,05-12-2010 14:19,3.75,12472,Germany,15.0
94,537201,84375,SET OF 20 KIDS COOKIE CUTTERS,12,05-12-2010 14:19,2.1,12472,Germany,25.2
95,537201,22940,FELTCRAFT CHRISTMAS FAIRY,8,05-12-2010 14:19,4.25,12472,Germany,34.0
96,537201,22898,CHILDRENS APRON APPLES DESIGN,8,05-12-2010 14:19,1.95,12472,Germany,15.6
97,537201,22837,HOT WATER BOTTLE BABUSHKA ,4,05-12-2010 14:19,4.65,12472,Germany,18.6
98,537201,22968,ROSE COTTAGE KEEPSAKE BOX ,2,05-12-2010 14:19,9.95,12472,Germany,19.9
99,537201,22816,CARD MOTORBIKE SANTA,12,05-12-2010 14:19,0.42,12472,Germany,5.04
100,537201,22818,CARD CHRISTMAS VILLAGE,24,05-12-2010 14:19,0.42,12472,Germany,10.08
101,537201,21915,RED  HARMONICA IN BOX ,24,05-12-2010 14:19,1.25,12472,Germany,30.0
102,537201,21914,BLUE HARMONICA IN BOX ,24,05-12-2010 14:19,1.25,12472,Germany,30.0
