,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Hour
0,536527,22809,SET OF 6 T-LIGHTS SANTA,6,2010-01-12 13:04:00,2.95,12662,Germany,13
1,536527,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,6,2010-01-12 13:04:00,2.55,12662,Germany,13
2,536527,84945,MULTI COLOUR SILVER T-LIGHT HOLDER,12,2010-01-12 13:04:00,0.85,12662,Germany,13
3,536527,22242,5 HOOK HANGER MAGIC TOADSTOOL,12,2010-01-12 13:04:00,1.65,12662,Germany,13
4,536527,22244,3 HOOK HANGER MAGIC GARDEN,12,2010-01-12 13:04:00,1.95,12662,Germany,13
5,536527,22243,5 HOOK HANGER RED MAGIC TOADSTOOL,12,2010-01-12 13:04:00,1.65,12662,Germany,13
6,536527,47421,ASSORTED COLOUR LIZARD SUCTION HOOK,24,2010-01-12 13:04:00,0.42,12662,Germany,13
7,536527,20712,JUMBO BAG WOODLAND ANIMALS,10,2010-01-12 13:04:00,1.95,12662,Germany,13
8,536527,20713,JUMBO BAG OWLS,10,2010-01-12 13:04:00,1.95,12662,Germany,13
9,536527,22837,HOT WATER BOTTLE BABUSHKA ,4,2010-01-12 13:04:00,4.65,12662,Germany,13
10,536527,22969,HOMEMADE JAM SCENTED CANDLES,12,2010-01-12 13:04:00,1.45,12662,Germany,13
11,536527,22973,CHILDREN'S CIRCUS PARADE MUG,12,2010-01-12 13:04:00,1.65,12662,Germany,13
12,536527,84569B,PACK 3 FIRE ENGINE/CAR PATCHES,12,2010-01-12 13:04:00,1.25,12662,Germany,13
13,536527,22549,PICTURE DOMINOES,12,2010-01-12 13:04:00,1.45,12662,Germany,13
14,536527,POST,POSTAGE,1,2010-01-12 13:04:00,18.0,12662,Germany,13
15,C536548,22244,3 HOOK HANGER MAGIC GARDEN,-4,2010-01-12 14:33:00,1.95,12472,Germany,14
16,C536548,22242,5 HOOK HANGER MAGIC TOADSTOOL,-5,2010-01-12 14:33:00,1.65,12472,Germany,14
17,C536548,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,-1,2010-01-12 14:33:00,2.95,12472,Germany,14
18,C536548,22892,SET OF SALT AND PEPPER TOADSTOOLS,-7,2010-01-12 14:33:00,1.25,12472,Germany,14
19,C536548,22654,DELUXE SEWING KIT ,-1,2010-01-12 14:33:00,5.95,12472,Germany,14
